2016 BirdLife/HBW/IUCN scientific name;2016 BirdLife/HBW/IUCN English name;Sequence;IUCN Red List (2016);EU27 Red List (2015);1999 EU list (Voous);1999 EU list (Sibley & Monroe);Reason for change (1999 vs 2015);Reason for change (2015 vs 2018);Occurrence in EU;Birds Directive synonym;Annex I ;Annex II/A;Annex II/B;Annex III/A;Annex III/B;Annex restrictions & notes;Migratory status in EU;Justification for migratory status;CMS;AEWA;Raptors MoU;AEMLAP;CITES;Council Reg. No 338/97;IOC (v.7.2) species;IOC (v.7.2) name;Clements (v.2016) species;Clements (v.2016) name;Howard & Moore (v.4) species;Howard & Moore (v.4) name;
Larus glaucoides;Iceland Gull;2620;LC;NE;Larus glaucoides;Larus glaucoides;Includes kumleini;;W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Larus glaucoides;Yes;Larus glaucoides;Yes;Larus glaucoides;
Larus hyperboreus;Glaucous Gull;2623;LC;NE;Larus hyperboreus;Larus hyperboreus;;;W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Larus hyperboreus;Yes;Larus hyperboreus;Yes;Larus hyperboreus;
Larus marinus;Great Black-backed Gull;2624;LC;LC;Larus marinus;Larus marinus;;;N, H + W;;;;II/B;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Larus marinus;Yes;Larus marinus;Yes;Larus marinus;
Sternula albifrons;Little Tern;2629;LC;LC;Sterna albifrons;Sterna albifrons;Genus change;;N + M;Sterna albifrons;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Sternula albifrons;Yes;Sternula albifrons;Yes;Sternula albifrons;
Gelochelidon nilotica;Common Gull-billed Tern;2637;LC;LC;Gelochelidon nilotica;Sterna nilotica;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Gelochelidon nilotica;Yes;Gelochelidon nilotica;Yes;Gelochelidon nilotica;
Hydroprogne caspia;Caspian Tern;2639;LC;NT;Sterna caspia;Sterna caspia;Genus change;;N + M;Sterna caspia;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Hydroprogne caspia;Yes;Hydroprogne caspia;Yes;Hydroprogne caspia;
Chlidonias hybrida;Whiskered Tern;2642;LC;LC;Chlidonias hybridus;Chlidonias hybridus;Gender agreement (David & Gosselin 2002);;N, h + M;Chlidonias hybridus;I;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Chlidonias hybrida;Yes;Chlidonias hybrida;Yes;Chlidonias hybrida;
Chlidonias leucopterus;White-winged Tern;2643;LC;LC;Chlidonias leucopterus;Chlidonias leucopterus;;;N + M;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Chlidonias leucopterus;Yes;Chlidonias leucopterus;Yes;Chlidonias leucopterus;
Chlidonias niger;Black Tern;2644;LC;LC;Chlidonias niger;Chlidonias niger;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Chlidonias niger;Yes;Chlidonias niger;Yes;Chlidonias niger;
Sterna dougallii;Roseate Tern;2646;LC;LC;Sterna dougallii;Sterna dougallii;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Sterna dougallii;Yes;Sterna dougallii;Yes;Sterna dougallii;
