2016 BirdLife/HBW/IUCN scientific name;2016 BirdLife/HBW/IUCN English name;Sequence;IUCN Red List (2016);EU27 Red List (2015);1999 EU list (Voous);1999 EU list (Sibley & Monroe);Reason for change (1999 vs 2015);Reason for change (2015 vs 2018);Occurrence in EU;Birds Directive synonym;Annex I ;Annex II/A;Annex II/B;Annex III/A;Annex III/B;Annex restrictions & notes;Migratory status in EU;Justification for migratory status;CMS;AEWA;Raptors MoU;AEMLAP;CITES;Council Reg. No 338/97;IOC (v.7.2) species;IOC (v.7.2) name;Clements (v.2016) species;Clements (v.2016) name;Howard & Moore (v.4) species;Howard & Moore (v.4) name;
Passer hispaniolensis;Spanish Sparrow;9876;LC;LC;Passer hispaniolensis;Passer hispaniolensis;;;N, H;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Passer hispaniolensis;Yes;Passer hispaniolensis;Yes;Passer hispaniolensis;
Passer moabiticus;Dead Sea Sparrow;9881;LC;NE;Passer moabiticus;Passer moabiticus;;;Nex, M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Passer moabiticus;Yes;Passer moabiticus;Yes;Passer moabiticus;
Passer montanus;Eurasian Tree Sparrow;9897;LC;LC;Passer montanus;Passer montanus;;;N, H + W;;;;;;;;Non-migratory;;;;;;;;Yes;Passer montanus;Yes;Passer montanus;Yes;Passer montanus;
Petronia petronia;Rock Sparrow;9902;LC;LC;Petronia petronia;Petronia petronia;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Petronia petronia;Yes;Petronia petronia;Yes;Petronia petronia;
Montifringilla nivalis;White-winged Snowfinch;9908;LC;LC;Montifringilla nivalis;Montifringilla nivalis;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Montifringilla nivalis;Yes;Montifringilla nivalis;Yes;Montifringilla nivalis;
Anthus trivialis;Tree Pipit;9921;LC;LC;Anthus trivialis;Anthus trivialis;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Anthus trivialis;Yes;Anthus trivialis;Yes;Anthus trivialis;
Anthus cervinus;Red-throated Pipit;9923;LC;LC;Anthus cervinus;Anthus cervinus;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Anthus cervinus;Yes;Anthus cervinus;Yes;Anthus cervinus;
Anthus pratensis;Meadow Pipit;9926;NT;VU;Anthus pratensis;Anthus pratensis;;;N, H + M + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Anthus pratensis;Yes;Anthus pratensis;Yes;Anthus pratensis;
Anthus spinoletta;Water Pipit;9927;LC;LC;Anthus spinoletta;Anthus spinoletta;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Anthus spinoletta;Yes;Anthus spinoletta;Yes;Anthus spinoletta;
Anthus petrosus;Rock Pipit;9928;LC;LC;Anthus petrosus;Anthus petrosus;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Anthus petrosus;Yes;Anthus petrosus;Yes;Anthus petrosus;
Anthus richardi;Richard's Pipit;9944;LC;NE;Anthus richardi;Anthus richardi;;;M + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Anthus richardi;Yes;Anthus richardi;Yes;Anthus richardi;
Anthus berthelotii;Berthelot's Pipit;9950;LC;LC;Anthus berthelotii;Anthus berthelotii;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Anthus berthelotii;Yes;Anthus berthelotii;Yes;Anthus berthelotii;
Anthus campestris;Tawny Pipit;9951;LC;LC;Anthus campestris;Anthus campestris;;;N + M;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Anthus campestris;Yes;Anthus campestris;Yes;Anthus campestris;
Motacilla flava;Western Yellow Wagtail;9972;LC;LC;Motacilla flava;Motacilla flava;Includes cinereocapilla, feldegg, flavissima, iberiae, leucocephala, lutea and thunbergi;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Motacilla flava;Yes;Motacilla flava;Yes;Motacilla flava;
Motacilla cinerea;Grey Wagtail;9974;LC;LC;Motacilla cinerea;Motacilla cinerea;;;N, H + M + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Motacilla cinerea;Yes;Motacilla cinerea;Yes;Motacilla cinerea;
Motacilla citreola;Citrine Wagtail;9975;LC;LC°°;Motacilla citreola;Motacilla citreola;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Motacilla citreola;Yes;Motacilla citreola;Yes;Motacilla citreola;
Motacilla alba;White Wagtail;9980;LC;LC;Motacilla alba;Motacilla alba;Includes yarrelli;;N, H + M + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Motacilla alba;Yes;Motacilla alba;Yes;Motacilla alba;
Fringilla coelebs;Common Chaffinch;9982;LC;LC;Fringilla coelebs;Fringilla coelebs;Includes spodiogenys;;N, H + M + W;;I *;;;;;* F. c. ombriosa only;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Fringilla coelebs;Yes;Fringilla coelebs;Yes;Fringilla coelebs;
Fringilla teydea;Tenerife Blue Chaffinch;9983;NT;[NT];Fringilla teydea;Fringilla teydea;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Fringilla teydea;No;Fringilla teydea;No;Fringilla teydea;
Fringilla polatzeki;Gran Canaria Blue Chaffinch;9984;EN;NE;Fringilla teydea;Fringilla teydea;;Split;N, H;Fringilla teydea;I *;;;;;* Recently split from F. teydea;Non-migratory;;;;;;;;Yes;Fringilla polatzeki;No;Fringilla teydea;No;Fringilla teydea;
Fringilla montifringilla;Brambling;9985;LC;VU;Fringilla montifringilla;Fringilla montifringilla;;;N, H + M + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Fringilla montifringilla;Yes;Fringilla montifringilla;Yes;Fringilla montifringilla;
Coccothraustes coccothraustes;Hawfinch;10026;LC;LC;Coccothraustes coccothraustes;Coccothraustes coccothraustes;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Coccothraustes coccothraustes;Yes;Coccothraustes coccothraustes;Yes;Coccothraustes coccothraustes;
Carpodacus erythrinus;Common Rosefinch;10068;LC;VU;Carpodacus erythrinus;Carpodacus erythrinus;;;N;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Carpodacus erythrinus;Yes;Carpodacus erythrinus;Yes;Erythrina erythrina;
Pinicola enucleator;Pine Grosbeak;10093;LC;LC;Pinicola enucleator;Pinicola enucleator;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Pinicola enucleator;Yes;Pinicola enucleator;Yes;Pinicola enucleator;
Pyrrhula murina;Azores Bullfinch;10100;VU;EN;Pyrrhula murina;Pyrrhula pyrrhula;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Pyrrhula murina;Yes;Pyrrhula murina;Yes;Pyrrhula murina;
Pyrrhula pyrrhula;Eurasian Bullfinch;10101;LC;LC;Pyrrhula pyrrhula;Pyrrhula pyrrhula;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Pyrrhula pyrrhula;Yes;Pyrrhula pyrrhula;Yes;Pyrrhula pyrrhula;
Bucanetes githagineus;Trumpeter Finch;10104;LC;LC;Bucanetes githagineus;Rhodopechys githaginea;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Bucanetes githagineus;Yes;Bucanetes githagineus;Yes;Bucanetes githagineus;
Chloris chloris;European Greenfinch;10123;LC;LC;Carduelis chloris;Carduelis chloris;;Genus change;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Chloris chloris;Yes;Chloris chloris;Yes;Chloris chloris;
Linaria flavirostris;Twite;10166;LC;VU;Carduelis flavirostris;Carduelis flavirostris;;Genus change;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Linaria flavirostris;Yes;Carduelis flavirostris;Yes;Linaria flavirostris;
Linaria cannabina;Common Linnet;10167;LC;LC;Carduelis cannabina;Carduelis cannabina;;Genus change;N, H + M + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Linaria cannabina;Yes;Carduelis cannabina;Yes;Linaria cannabina;
Acanthis flammea;Redpoll;10170;LC;LC;Carduelis flammea;Carduelis flammea;Includes cabaret and hornemanni;Genus change ;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;No;Acanthis flammea/hornemanni;No;Acanthis flammea/cabaret/hornemanni;No;Acanthis flammea/hornemanni;
Loxia pytyopsittacus;Parrot Crossbill;10171;LC;LC;Loxia pytyopsittacus;Loxia pytyopsittacus;;;N, H + W;;;;;;;;Non-migratory;;;;;;;;Yes;Loxia pytyopsittacus;Yes;Loxia pytyopsittacus;Yes;Loxia pytyopsittacus;
Loxia scotica;Scottish Crossbill;10172;LC;LC;Loxia scotica;Loxia scotica;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Loxia scotica;Yes;Loxia scotica;Yes;Loxia scotica;
Loxia curvirostra;Red Crossbill;10173;LC;LC;Loxia curvirostra;Loxia curvirostra;;;N, H + W;;;;;;;;Non-migratory;;;;;;;;Yes;Loxia curvirostra;Yes;Loxia curvirostra;Yes;Loxia curvirostra;
Loxia leucoptera;Two-barred Crossbill;10174;LC;LC;Loxia leucoptera;Loxia leucoptera;;;N, H + W;;;;;;;;Non-migratory;;;;;;;;Yes;Loxia leucoptera;Yes;Loxia leucoptera;Yes;Loxia leucoptera;
Carduelis carduelis;European Goldfinch;10178;LC;LC;Carduelis carduelis;Carduelis carduelis;;;N, H + M + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Carduelis carduelis;Yes;Carduelis carduelis;Yes;Carduelis carduelis;
Carduelis citrinella;Citril Finch;10180;LC;LC;Serinus citrinella;Serinus citrinella;Genus change;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Carduelis citrinella;Yes;Serinus citrinella;No;Carduelis citrinella;
Carduelis corsicana;Corsican Finch;10181;LC;LC;Serinus citrinella;Serinus citrinella;Split;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Carduelis corsicana;Yes;Serinus corsicanus;No;Carduelis citrinella;
Serinus serinus;European Serin;10182;LC;LC;Serinus serinus;Serinus serinus;;;N, H + M + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Serinus serinus;Yes;Serinus serinus;Yes;Serinus serinus;
Serinus canaria;Island Canary;10183;LC;LC;Serinus canaria;Serinus canaria;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Serinus canaria;Yes;Serinus canaria;Yes;Serinus canaria;
Spinus spinus;Eurasian Siskin;10191;LC;LC;Carduelis spinus;Carduelis spinus;;Genus change;N, H + M + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Spinus spinus;Yes;Spinus spinus;Yes;Spinus spinus;
Calcarius lapponicus;Lapland Longspur;10210;LC;NT;Calcarius lapponicus;Calcarius lapponicus;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Calcarius lapponicus;Yes;Calcarius lapponicus;Yes;Calcarius lapponicus;
Plectrophenax nivalis;Snow Bunting;10214;LC;LC;Plectrophenax nivalis;Plectrophenax nivalis;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Plectrophenax nivalis;Yes;Plectrophenax nivalis;Yes;Plectrophenax nivalis;
Emberiza melanocephala;Black-headed Bunting;10219;LC;LC;Emberiza melanocephala;Emberiza melanocephala;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza melanocephala;Yes;Emberiza melanocephala;Yes;Granativora melanocephala;
Emberiza calandra;Corn Bunting;10221;LC;LC;Miliaria calandra;Miliaria calandra;;Genus change;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza calandra;Yes;Emberiza calandra;Yes;Emberiza calandra;
Emberiza cia;Rock Bunting;10225;LC;LC;Emberiza cia;Emberiza cia;;;N, H;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza cia;Yes;Emberiza cia;Yes;Emberiza cia;
Emberiza cineracea;Cinereous Bunting;10229;NT;VU;Emberiza cineracea;Emberiza cineracea;;;N;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza cineracea;Yes;Emberiza cineracea;Yes;Emberiza cineracea;
Emberiza hortulana;Ortolan Bunting;10230;LC;LC;Emberiza hortulana;Emberiza hortulana;;;N + M;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza hortulana;Yes;Emberiza hortulana;Yes;Emberiza hortulana;
Emberiza caesia;Cretzschmar's Bunting;10231;LC;LC;Emberiza caesia;Emberiza caesia;;;N + M;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza caesia;Yes;Emberiza caesia;Yes;Emberiza caesia;
Emberiza cirlus;Cirl Bunting;10232;LC;LC;Emberiza cirlus;Emberiza cirlus;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Emberiza cirlus;Yes;Emberiza cirlus;Yes;Emberiza cirlus;
Emberiza citrinella;Yellowhammer;10234;LC;LC;Emberiza citrinella;Emberiza citrinella;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza citrinella;Yes;Emberiza citrinella;Yes;Emberiza citrinella;
Emberiza leucocephalos;Pine Bunting;10235;LC;NE;Emberiza leucocephalos;Emberiza leucocephalos;;;W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza leucocephalos;Yes;Emberiza leucocephalos;Yes;Emberiza leucocephalos;
Emberiza schoeniclus;Reed Bunting;10249;LC;LC;Emberiza schoeniclus;Emberiza schoeniclus;;;N, H + M + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza schoeniclus;Yes;Emberiza schoeniclus;Yes;Schoeniclus schoeniclus;
Emberiza aureola;Yellow-breasted Bunting;10251;EN;CR;Emberiza aureola;Emberiza aureola;;;N;;;;;;;;Migratory;Listed by CMS and AEMLAP;I;;;AEMLAP;;;Yes;Emberiza aureola;Yes;Emberiza aureola;Yes;Schoeniclus aureolus;
Emberiza rustica;Rustic Bunting;10252;VU;VU;Emberiza rustica;Emberiza rustica;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza rustica;Yes;Emberiza rustica;Yes;Schoeniclus rusticus;
Emberiza pusilla;Little Bunting;10253;LC;LC;Emberiza pusilla;Emberiza pusilla;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Emberiza pusilla;Yes;Emberiza pusilla;Yes;Schoeniclus pusillus;
