"country","region","region_orig","regionhash","speciescode","speciesname","assessment_speciescode","assessment_speciesname","tax_group","presence","annex_II_priority","annex_II","annex_IV","annex_V","comments_annex_II","comments_annex_IV","comments_annex_V"
"AT","ALP","ALP","0b45164122fb642c02c78026a724c8c1",1261,"Lacerta agilis",1261,"Lacerta agilis","Reptiles","1","N","N","Y","N","","",""
"RO","ALP","ALP","0b62d4e9b148c4291f9d0e363cc97ad1",2484,"Eudontomyzon mariae",2484,"Eudontomyzon mariae","Fish","1","N","Y","N","N","","",""
"IT","ALP","ALP","0b8507b8d1305e947813bf01a6001243",1329,"Plecotus austriacus",1329,"Plecotus austriacus","Mammals","1","N","N","Y-HTL","N","","",""
"RO","STE","STE","0b97af45f3f2b18a6f6f887b696d7aa1",1353,"Canis aureus",1353,"Canis aureus","Mammals","1","N","N","N","Y","","",""
"SI","ALP","ALP","0ba3c7169fd6a5487aa5102592876636",1313,"Eptesicus nilssonii",1313,"Eptesicus nilssonii","Mammals","1","N","N","Y-HTL","N","","",""
"MT","MED","MED","0ba510fb1d26fc7b04cbf611ae7c4c4a",1274,"Chalcides ocellatus",1274,"Chalcides ocellatus","Reptiles","1","N","N","Y","N","","",""
"ES","ATL","ATL","0bba3540e59f7808a100b41045540103",1425,"Dryopteris corleyi",1425,"Dryopteris corleyi","Vascular plants","1","Y","Y","Y","N","","",""
"SK","PAN","PAN","0be72c70884809c4571a8443fea2943f",1014,"Vertigo angustior",1014,"Vertigo angustior","Molluscs","1","N","Y","N","N","","",""
"MT","MMED","MMED","0bea77300947721c4492c4d9a4b151b9",2030,"Grampus griseus",2030,"Grampus griseus","Mammals","OCC","N","N","Y-HTL","N","","",""
"DE","CON","CON","0bf0ed26c0ba971f1132f09b098389a4",1160,"Zingel streber",1160,"Zingel streber","Fish","1","N","Y-HTL","N","N","","",""
"ES","MAC","MAC","42b1a3b51896a4f884d2d74ce7f04aca",1517,"Aeonium gomerense",1517,"Aeonium gomerense","Vascular plants","1","N","Y","Y","N","","",""
"IE","MATL","MATL","42faedd72f4a96e441d9bbcdbb9fb33a",2622,"Kogia breviceps",2622,"Kogia breviceps","Mammals","OCC","N","N","Y-HTL","N","","",""
"IT","CON","CON","430083cc6b323dba9a67d3bd160e0bed",1092,"Austropotamobius pallipes",1092,"Austropotamobius pallipes","Arthropods","1","N","Y","N","Y","","",""
"FR","ALP","ALP","4313f20b9f90aa613587db2a3d142fc5",1375,"Capra ibex",1375,"Capra ibex","Mammals","1","N","N","N","Y","","",""
"RO","PAN","PAN","4326a18df027ec7a71513c2f8e1642ea",4081,"Cirsium brachycephalum",4081,"Cirsium brachycephalum","Vascular plants","1","N","Y","Y","N","","",""
"UK","ATL","ATL","43275c5bb03586fdd31cf72796858313",1213,"Rana temporaria",1213,"Rana temporaria","Amphibians","1","N","N","N","Y","","",""
"FR","MED","MED","435c2a4b75f8be6989c6042903f76e39",1077,"Hyles hippophaes",1077,"Hyles hippophaes","Arthropods","1","N","N","Y","N","","",""
"CY","MED","MED","439c8f147f1742a39654efe7cfd1494c",2016,"Pipistrellus kuhlii",2016,"Pipistrellus kuhlii","Mammals","1","N","N","Y-HTL","N","","",""
"HU","PAN","PAN","43b3fa23e98ae650519291e517c26e44",1035,"Leucorrhinia caudalis",1035,"Leucorrhinia caudalis","Arthropods","1","N","N","Y","N","","",""
"FR","ALP","ALP","43d8f6d5aeb90bd6b7d7d61943a49556",1324,"Myotis myotis",1324,"Myotis myotis","Mammals","1","N","Y","Y","N","","",""
"RO","STE","STE","4412f994071296a06d958b3b51dc77f1",4127,"Alosa tanaica",4127,"Alosa tanaica","Fish","1","N","Y","N","Y-HTL","","",""
